Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify user should get message for reset password on registered Username after filling mandatory details and clicking 'Send Message' button.,EL-180,10214,Test,Block,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:55 AM,08/Sep/21 8:27 AM,08/Sep/21 6:56 AM,,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-179,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0018q:,,EL Sprint 1,,,,,,,,In Progress
Verify user should get message for reset password on registered Email Id after filling mandatory details and clicking 'Send Message' button.,EL-179,10213,Test,Block,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:51 AM,08/Sep/21 8:26 AM,08/Sep/21 6:51 AM,,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-174,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0018i:,,EL Sprint 1,,,,,,,,In Progress
Verify user should be able to see 'Send Message' button color is blue.,EL-178,10212,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:45 AM,08/Sep/21 8:31 AM,08/Sep/21 8:30 AM,08/Sep/21 7:36 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-175,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0018a:,,EL Sprint 1,,,,,,,,Done
Verify 'Username or Email' field should be mandatory.,EL-177,10211,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:40 AM,08/Sep/21 7:37 AM,08/Sep/21 6:40 AM,08/Sep/21 7:37 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-176,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00182:,,EL Sprint 1,,,,,,,,Done
Verify 'Send Message' field should be mandatory.,EL-176,10210,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:26 AM,08/Sep/21 7:37 AM,08/Sep/21 6:44 AM,08/Sep/21 7:37 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-123,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017u:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to see 'Send Message' button.,EL-175,10209,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:19 AM,08/Sep/21 7:37 AM,08/Sep/21 7:37 AM,08/Sep/21 7:37 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-174,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017m:,,EL Sprint 1,,,,,,,,Done
Verify user should get validation message for entering invalid non-registered Email Id at 'Enter Username or Email' field.,EL-174,10208,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:13 AM,08/Sep/21 7:37 AM,08/Sep/21 7:17 AM,08/Sep/21 7:37 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-172,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0017e:,,EL Sprint 1,,,,,,,,Done
Verify user should be able to enter username or email in 'Enter Username or Email' field .,EL-173,10207,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:09 AM,08/Sep/21 7:37 AM,08/Sep/21 6:09 AM,08/Sep/21 7:37 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-172,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i00176:,,EL Sprint 1,,,,,,,,Done
Verify user should see 'Enter Username or Email' field is of type text.,EL-172,10206,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 6:05 AM,08/Sep/21 9:22 AM,08/Sep/21 9:21 AM,08/Sep/21 7:36 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-171,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0016y:,,EL Sprint 1,,,,,,,,Done
Verify after clicking 'I Lost My Password ' link user is able to see field enter your Username or Email.,EL-171,10205,Test,Done,EL,E-Learning,software,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,Medium,Done,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,08/Sep/21 5:58 AM,08/Sep/21 7:36 AM,08/Sep/21 5:58 AM,08/Sep/21 7:36 AM,,0,,,Tanaya Bhagde,612ef7b46a4c09006a9fdf3c,,,,,,,,,,,,,EL-169,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0016q:,,EL Sprint 1,,,,,,,,Done
